symbol,open,high,low,close,volume
BTCUSDT,81000,81100,80950,81080,120
BTCUSDT,81080,81220,81050,81190,140
BTCUSDT,81190,81310,81100,81240,160
BTCUSDT,81240,81380,81200,81320,180
BTCUSDT,81320,81450,81290,81410,200
BTCUSDT,81410,81500,81380,81490,190
BTCUSDT,81490,81620,81450,81570,210
BTCUSDT,81570,81700,81520,81640,220
BTCUSDT,81640,81750,81600,81710,230
BTCUSDT,81710,81800,81680,81790,240
BTCUSDT,81790,81900,81750,81870,250
BTCUSDT,81870,82000,81820,81950,260
BTCUSDT,81950,82100,81900,82040,270
BTCUSDT,82040,82150,82000,82110,280
BTCUSDT,82110,82200,82080,82190,290
BTCUSDT,82190,82300,82150,82280,300
BTCUSDT,82280,82400,82230,82360,310
BTCUSDT,82360,82500,82320,82440,320
BTCUSDT,82440,82600,82400,82520,330
BTCUSDT,82520,82700,82480,82610,340
